EffectId,CardId,EffectType,Value,Duration,TargetOverride,TriggerCondition,IsDelayed 
E2001-1,2001,Damage,6,0,,,FALSE 
E2002-1,2002,Shield,5,0,Self,,FALSE 
E2003-1,2003,AttackBuff,2,0,Self,EnemyUsedDamageCardThisRound,FALSE 
E2004-1,2004,Damage,3,0,AllCurrentEnemies,,FALSE 
E2004-2,2004,Lifesteal,100,0,Self,,FALSE 
E2005-1,2005,Damage,3,0,RandomEnemy,,FALSE 
E2005-2,2005,Damage,3,0,RandomEnemy,,FALSE 
E2005-3,2005,Damage,3,0,RandomEnemy,,FALSE 
E2005-4,2005,Damage,3,0,RandomEnemy,,FALSE 
E1001-1,1001,Draw,3,0,Self,,FALSE 
E1001-2,1001,BanDraw,0,99,Self,,FALSE 
E1002-1,1002,DoubleStrength,0,0,Self,,FALSE 
E2101-1,2101,Damage,10,0,,,FALSE 
E2101-2,2101,Shield,10,0,Self,,FALSE 
E2102-1,2102,AddBuff,2,0,AllCurrentEnemies,Poison_PerRound,FALSE 
E2103-1,2103,AddBuff,2,99,Self,Agility_Permanent,FALSE 
E1101-1,1101,Draw,0,0,Self,Draw_6_MinusHandCount,FALSE 
E1102-1,1102,Discard,3,0,Self,,FALSE 
E1102-2,1102,GainEnergy,2,0,Self,,FALSE 
E1201-1,1201,Draw,1,0,Self,SearchFromDeck,FALSE 
E2201-1,2201,AddBuff,1,0,,Burn_Spreading,FALSE 
E1202-1,1202,Damage,2,0,CurrentEnemy,,FALSE 
E1202-2,1202,Draw,1,0,Self,IfCardsPlayedThisRoundLEQ3,FALSE 
E1203-1,1203,Draw,3,0,Self,,FALSE 
E1203-2,1203,GenerateCard,0,0,Discard,StatCard_Scald,FALSE 
E2202-1,2202,AddBuff,1,99,Self,EchoFirstCard_Permanent,FALSE
